Line No.,Eartag,Birth Date,Breed,Lact num,Calving Date,305 day Milk kg,305 day Fat kg,305 day Protein kg,305 day Fat + Protein kg,F+P kg / day,Lact len,Tests,SCC over limit,Ave SCC,Calv int,Johne's Group,Fertility Status,CPI,Sire name
295,UK702881703262,04/02/19,HF,5,28/02/25,8647,333,325,659,2.26,292,4,0,44,380,J0,Ready,0,UNKNOWN
262,UK702881703374,12/02/19,HF,5,01/03/25,7404,307,276,583,2.00,291,4,0,107,376,J0,Ready,0,UNKNOWN
265,UK702881403490,23/02/19,HF,5,21/02/25,7980,342,312,654,2.19,299,4,3,290,381,J0,Ready,0,UNKNOWN
283,UK702881103389,14/02/19,HF,5,09/02/25,8244,401,345,747,2.43,311,4,0,17,365,J0,Ready,0,UNKNOWN
302,UK702881403357,11/02/19,HF,5,19/02/25,7136,382,294,676,2.25,301,3,0,41,379,J0,Ready,0,UNKNOWN
326,UK702881703479,22/02/19,HF,5,12/02/25,8158,350,329,679,2.22,308,4,1,83,370,J0,Ready,0,UNKNOWN
309,UK702881203278,05/02/19,HF,5,19/02/25,8672,387,351,738,2.45,301,4,0,12,359,J0,Ready,0,UNKNOWN
339,UK702881203243,04/02/19,HF,5,06/02/25,7947,314,332,647,2.11,314,4,0,29,358,J0,Ready,0,UNKNOWN
351,UK702881303370,11/02/19,HF,5,25/03/25,6524,258,270,529,1.98,267,4,0,26,405,J0,Ready,0,UNKNOWN
353,UK702881303307,07/02/19,HF,5,10/02/25,8819,437,325,762,2.49,310,4,0,17,371,J0,Ready,0,UNKNOWN
358,UK702881503309,07/02/19,HF,5,18/02/25,7573,265,282,547,1.81,302,4,1,221,378,J0,Ready,0,UNKNOWN
13,UK702881203334,09/02/19,HF,5,01/03/25,8758,386,341,727,2.50,291,4,0,31,364,J0,Ready,0,UNKNOWN
14,UK702881103256,01/02/19,HF,5,19/02/25,8127,348,316,665,2.21,301,4,0,24,382,J0,Ready,0,UNKNOWN
73,UK702881403406,15/02/19,HF,5,19/02/25,7896,390,339,729,2.42,301,4,0,24,359,J0,Ready,0,UNKNOWN
221,UK702881103487,20/02/19,HF,5,01/05/25,5704,277,204,481,2.09,230,3,0,40,408,J0,Ready,0,UNKNOWN
224,UK702881603387,14/02/19,HF,5,10/02/25,7677,412,323,736,2.40,310,4,0,70,368,J0,Ready,0,UNKNOWN
210,UK702881503372,12/02/19,HF,5,10/02/25,7388,367,304,672,2.19,310,4,1,700,364,J0,Ready,0,UNKNOWN
162,UK702881403308,07/02/19,HF,5,07/03/25,6848,286,279,565,1.98,285,4,0,14,401,J0,Ready,0,UNKNOWN
126,UK702881203383,14/02/19,HF,5,19/02/25,8461,305,312,618,2.05,301,4,0,13,379,J0,Ready,0,UNKNOWN
98,UK702881503379,12/02/19,HF,5,01/02/25,7526,390,313,703,2.30,319,4,0,30,351,J0,Ready,0,UNKNOWN
107,UK702881203285,06/02/19,HF,5,21/02/25,7756,309,322,632,2.11,299,4,0,112,373,J0,Ready,0,UNKNOWN
1480,UK702881103340,10/02/19,HF,5,11/03/25,7535,357,299,657,2.34,281,4,0,19,369,J0,Ready,0,UNKNOWN
1800,UK702881103473,20/02/19,HF,5,12/02/25,8158,365,347,713,2.33,308,4,2,218,350,J0,Ready,0,UNKNOWN
201,UK702881603464,20/02/19,HF,5,12/02/25,7951,360,322,683,2.24,308,4,0,23,358,J0,Ready,0,UNKNOWN
231,UK702881503344,10/02/19,HF,5,11/03/25,8961,291,306,598,2.13,281,4,0,23,362,J0,Ready,0,UNKNOWN
266,UK702881303517,26/02/19,HF,5,29/03/25,7740,334,287,621,2.36,263,4,0,15,397,J0,Ready,0,UNKNOWN
342,UK702881403392,14/02/19,HF,5,17/02/25,8007,416,305,722,2.38,303,4,1,511,369,J0,Ready,0,UNKNOWN
4220,UK702881203264,04/02/19,HF,5,20/03/25,7561,331,306,638,2.35,272,4,0,10,371,J0,Ready,0,UNKNOWN
3830,UK702881603569,18/03/19,HF,5,06/02/25,8354,286,328,614,2.01,314,4,0,32,353,J0,Ready,0,UNKNOWN
3250,UK702881403497,07/03/19,MS,5,11/03/25,7689,302,296,598,2.13,281,4,0,12,374,J0,Ready,0,UNKNOWN
511,UK702881203320,09/02/19,HF,5,10/02/25,7886,287,317,605,1.97,310,4,0,35,374,J0,Ready,0,UNKNOWN
434,UK702881403350,11/02/19,HF,5,21/02/25,8343,303,331,634,2.12,299,4,0,35,385,J0,Ready,0,UNKNOWN
452,UK702881203474,21/02/19,HF,5,14/02/25,6706,292,302,595,1.95,306,4,1,175,361,J0,Ready,0,UNKNOWN
384,UK702881203537,28/02/19,HF,5,01/04/25,6666,346,263,609,2.34,260,3,0,52,400,J0,Ready,0,UNKNOWN
400,UK702881603331,10/02/19,HF,5,25/02/25,8392,312,307,620,2.10,295,4,0,71,374,J0,Ready,0,UNKNOWN
423,UK702881303321,10/02/19,HF,5,25/02/25,7740,381,346,727,2.46,295,4,3,1044,337,J0,Ready,0,UNKNOWN
419,UK702881503498,23/02/19,HF,5,07/03/25,6312,332,264,597,2.09,285,4,0,16,386,J0,Ready,0,UNKNOWN
1,UK702881103977,01/03/20,H,4,06/02/25,6635,268,273,541,1.77,314,4,0,25,330,J0,Ready,0,HEREFORD
153,UK702881403882,16/02/20,H,4,17/02/25,7331,298,280,579,1.91,303,4,0,19,364,J0,Ready,0,UNKNOWN
154,UK702881103893,18/02/20,H,4,18/02/25,8276,359,310,669,2.22,302,4,1,120,365,J0,Ready,0,UNKNOWN
99,UK702881103963,26/02/20,H,4,09/02/25,7277,263,260,523,1.71,311,4,0,37,333,J0,Ready,0,UNKNOWN
106,UK702881703745,07/02/20,HF,4,19/02/25,7620,375,307,682,2.27,301,4,0,15,375,J0,Ready,0,UNKNOWN
108,UK702881503904,19/02/20,HF,4,18/02/25,8186,366,341,708,2.34,302,4,0,35,342,J0,Ready,0,UNKNOWN
112,UK702881203726,07/02/20,HF,4,03/03/25,6392,295,269,564,1.95,289,4,1,117,389,J0,Ready,0,UNKNOWN
128,UK702881403756,07/02/20,HF,4,25/02/25,7706,276,331,607,2.06,295,4,0,59,343,J0,Ready,0,UNKNOWN
133,UK702881603814,12/02/20,HF,4,26/02/25,8305,295,296,592,2.01,294,4,0,33,378,J0,Ready,0,UNKNOWN
134,UK702881503960,26/02/20,H,4,05/03/25,7446,277,244,521,1.82,287,4,0,43,351,J0,Ready,0,UNKNOWN
139,UK702881203887,18/02/20,H,4,20/02/25,9176,359,305,665,2.22,300,4,0,46,358,J0,Ready,0,UNKNOWN
23,UK702881503848,14/02/20,HF,4,09/02/25,8082,308,323,631,2.06,311,4,0,21,355,J0,Ready,0,HEREFORD
28,UK702881504023,09/03/20,H,4,12/02/25,7740,223,283,507,1.66,308,4,4,583,370,J0,Ready,0,HEREFORD
63,UK702881303706,03/02/20,HF,4,19/02/25,9153,390,338,728,2.42,301,4,0,23,365,J0,Ready,0,UNKNOWN
64,UK702881603730,06/02/20,HF,4,05/04/25,7925,323,317,640,2.50,256,4,0,22,431,J0,Ready,0,UNKNOWN
65,UK702881603835,13/02/20,HF,4,24/03/25,6758,329,259,589,2.20,268,4,0,15,370,J4,Ready,0,UNKNOWN
68,UK702881103970,26/02/20,H,4,12/02/25,6790,272,285,558,1.82,308,4,0,31,372,J0,Ready,0,UNKNOWN
46,UK702881403945,23/02/20,H,4,18/02/25,8049,354,298,652,2.16,302,4,0,34,378,J0,Ready,0,HEREFORD
48,UK702881403840,14/02/20,HF,4,03/03/25,7850,327,318,645,2.23,289,4,0,18,392,J0,Ready,0,HEREFORD
169,UK702881703836,13/02/20,HF,4,20/02/25,8734,345,321,667,2.22,300,4,0,90,338,J0,Ready,0,UNKNOWN
171,UK702881503946,23/02/20,H,4,05/03/25,7918,374,305,680,2.37,287,4,0,17,363,J0,Ready,0,UNKNOWN
176,UK702881603695,28/01/20,HF,4,14/03/25,7969,311,267,578,2.08,278,4,0,102,375,J0,Ready,0,UNKNOWN
189,UK702881403812,12/02/20,HF,4,01/04/25,8352,369,303,672,2.58,260,4,0,52,412,J0,Ready,0,UNKNOWN
184,UK702881103942,23/02/20,H,4,09/02/25,8356,311,318,630,2.05,311,4,1,53,339,J0,Ready,0,UNKNOWN
194,UK702881303860,16/02/20,H,4,01/03/25,7256,349,294,643,2.21,291,4,1,150,396,J0,Ready,0,UNKNOWN
205,UK702881203754,07/02/20,H,4,26/02/25,6958,299,263,563,1.91,294,4,0,81,373,J0,Ready,0,UNKNOWN
206,UK702881603709,03/02/20,HF,4,05/03/25,7177,309,290,599,2.09,287,4,0,12,387,J0,Ready,0,UNKNOWN
197,UK702881203747,07/02/20,HF,4,25/02/25,7229,340,298,639,2.17,295,4,0,12,337,J0,Ready,0,UNKNOWN
199,UK702881703710,02/02/20,HF,4,16/02/25,8862,323,305,628,2.07,304,4,1,116,368,J0,Ready,0,UNKNOWN
228,UK702881503715,03/02/20,H,4,02/03/25,8507,324,306,630,2.17,290,4,1,194,388,J0,Ready,0,UNKNOWN
234,UK702881203719,03/02/20,HF,4,03/02/25,7719,274,314,588,1.92,317,4,0,32,350,J0,Ready,0,UNKNOWN
252,UK702881103697,27/01/20,HF,4,06/02/25,7596,310,297,607,1.98,314,3,0,28,362,J0,Ready,0,UNKNOWN
257,UK702881603793,11/02/20,HF,4,16/02/25,7626,299,284,583,1.92,304,4,0,23,363,J0,Ready,0,UNKNOWN
258,UK702881303944,23/02/20,H,4,26/02/25,7146,330,294,624,2.12,294,3,0,18,373,J0,Ready,0,UNKNOWN
263,UK702881603940,23/02/20,H,4,12/02/25,9659,349,350,699,2.29,308,4,0,83,358,J0,Ready,0,UNKNOWN
56,UK702881703752,07/02/20,HF,4,11/02/25,8282,354,365,720,2.36,309,4,0,40,371,J0,Ready,0,UNKNOWN
143,UK702881303727,06/02/20,HF,4,03/02/25,8317,405,315,720,2.34,317,4,0,53,349,J0,Ready,0,UNKNOWN
183,UK702881603961,26/02/20,H,4,05/03/25,7279,362,277,640,2.23,287,4,0,19,380,J0,Ready,0,UNKNOWN
122,UK702881503841,14/02/20,HF,4,11/02/25,8700,390,347,738,2.41,309,4,1,124,375,J0,Ready,0,UNKNOWN
304,UK702881303734,06/02/20,HF,4,07/03/25,7450,321,281,603,2.12,285,4,0,38,391,J0,Ready,0,UNKNOWN
315,UK702881303895,18/02/20,H,4,01/03/25,7780,344,293,637,2.19,291,4,0,21,390,J0,Ready,0,UNKNOWN
480,UK209357302482,17/02/20,HF,4,15/02/25,7083,323,318,641,2.10,305,4,0,60,370,J0,Ready,0,PRELUDE
320,UK702881703766,09/02/20,HF,4,21/02/25,7844,334,311,645,2.16,299,4,0,23,356,J0,Ready,0,UNKNOWN
